                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.8614,                 2.0153,                0.84962,                0.00043,                0.00035,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     37,                  2.874,                 2.0107,                0.85523,                0.00041,                0.00035,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.8355,                 1.9919,                0.84006,                0.00044,                0.00035,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                 2.8479,                 1.9733,                0.85014,                0.00044,                0.00035,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                 2.8631,                 1.9889,                0.85248,                0.00072,                0.00029,                  5e-05,                  3e-05,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                  2.413,                  1.693,                0.71576,                0.00064,                0.00032,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                 2.3857,                 1.6585,                0.70587,                0.00047,                0.00032,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.3765,                 1.6407,                0.70934,                0.00056,                0.00029,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.3915,                 1.6356,                0.71246,                0.00047,                0.00035,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                 2.3699,                 1.6092,                  0.709,                0.00048,                0.00029,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                 2.3815,                  1.631,                0.71844,                0.00059,                0.00029,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                 2.3723,                 1.6269,                0.70942,                0.00069,                0.00029,                  5e-05,                  3e-05,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                 2.3681,                 1.6037,                0.71709,                0.00065,                0.00035,                  5e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                 2.3668,                 1.6019,                0.70926,                0.00062,                0.00029,                  5e-05,                  3e-05,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 2.3475,                 1.5989,                0.70904,                0.00059,                0.00029,                  5e-05,                  3e-05,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
